,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000006125.15,9881,14711,4581,11341,7499,5172,7894,4678,12011
ENSG00000006128.10,0,2,0,1,0,1,1,0,0
ENSG00000006194.9,1149,1080,637,1383,1434,681,1062,1039,1388
ENSG00000006210.6,4,4,2,1,0,8,1,17,3
ENSG00000006282.18,2796,1280,1084,1676,83,359,1614,2703,1101
ENSG00000006283.16,0,82,4,1,5,6,2,6,4
ENSG00000006327.12,102,50,12,59,39,30,24,17,21
ENSG00000006377.10,0,2,1,0,1,2,2,1,1
ENSG00000006432.14,30,45,68,35,75,65,104,59,17
ENSG00000006451.6,1287,1459,765,1995,401,537,1093,877,2056
ENSG00000006453.12,59,101,267,149,128,713,252,208,113
ENSG00000006459.9,547,5061,2664,586,1190,906,2808,771,1630
ENSG00000006468.12,0,41,9,5,0,1,0,0,2
ENSG00000006530.14,1640,1996,1327,2409,1388,1113,893,1244,1567
ENSG00000006534.14,6488,91,2006,4125,1983,3521,6346,1290,2127
ENSG00000006555.9,40,19,42,25,36,17,45,24,366
ENSG00000006576.15,811,2387,1281,1760,1622,939,1564,1264,1416
ENSG00000006606.7,1,3,0,3,1,6,0,0,2
ENSG00000006607.12,726,1212,588,1104,1039,898,973,733,1994
ENSG00000006611.14,1,3,0,1,0,1,1,1,0
ENSG00000006625.16,650,379,308,826,185,262,330,334,615
ENSG00000006634.6,550,973,448,889,874,548,428,493,697
ENSG00000006638.10,219,21,17,255,230,10,256,240,332
ENSG00000006652.12,994,1708,1794,1493,1535,1221,1529,2846,2962
ENSG00000006659.11,0,0,0,0,0,2,1,0,0
ENSG00000006695.9,811,308,497,664,577,406,464,399,735
ENSG00000006704.9,63,775,110,229,244,18,37,223,209
ENSG00000006712.13,1658,882,903,1675,1609,1064,1409,1150,1661
ENSG00000006715.14,2259,2754,2572,3358,1180,1821,2414,1870,2917
ENSG00000006740.15,30,36,89,113,43,103,30,74,68
ENSG00000006744.17,4573,1146,1582,4169,3183,1838,3107,2180,2670
ENSG00000006747.13,1,15,5,3,16,361,8,1,4
ENSG00000006756.14,3410,545,2682,2893,37,1466,3007,2679,2266
ENSG00000006757.10,261,12,164,277,51,105,352,222,199
ENSG00000006788.11,1,3,1,3,3,0,2,1,0
ENSG00000006831.9,3417,3495,1576,4759,1292,5027,2441,1610,3749
ENSG00000006837.10,31,49,39,47,38,74,42,35,50
ENSG00000007001.11,1,8,4,7,10,18,12,3,1
ENSG00000007038.9,12,4,1374,4,2,2,4,2204,9
ENSG00000007047.13,1924,1210,812,1887,1148,1114,1563,1131,2130
